season,player_name,team,goals,played
1976,Miguel Ángel Converti,millonarios,33,
1976,Oswaldo Marcial Palavecino,caldas,31,
1976,Alberto de Jesús Benítez,cali,28,
1977,Oswaldo Marcial Palavecino,nacional,30,
1977,Miguel Ángel Converti,millonarios,25,
1977,Néstor Scotta,cali,24,
1978,Oswaldo Marcial Palavecino,nacional,36,
1978,Juan José Irigoyen,millonarios,34,
1978,Jorge Ramón Cáceres,america,32,
1979,Juan Jose Irigoyen,millonarios,36,
1979,Alberto de Jesús Benítez,cali,34,
1979,Néstor Leonel Scotta,cali,32,
1979,Oswaldo Marcial Palavecino,nacional,31,
1980,Sergio Antonio Cierra,pereira,26,
1980,Eduardo Emilio Vilarete,nacional,24,
1980,Mario de Queiroz,millonarios,21,
1980,Willington Ortiz,cali,18,
1980,Guillermo La Rosa,nacional,17,
1980,Alberto Santelli,santafe,17,
1981,Víctor Hugo del Río,tolima,29,
1981,Oswaldo Marcial Palavecino,santafe,21,
1981,Sergio Antonio Cierra,pereira,19,
1981,César Cueto,nacional,17,
1981,Adalberto Perroud,junior,15,
1981,Abel Lobatón,quindio,15,
1982,Miguel González,bucaramanga,27,
1982,Humberto Sierra,america,22,
1982,Willington Ortiz,cali,21,
1983,Hugo Gottardi,santafe,29,
1983,Willington Ortiz,america,22,
1983,Carlos Amaro Nadal,cali,21,
1984,Hugo Ernesto Gottardi,santafe,23,
1984,Miguel González,bucaramanga,19,
1984,Alex Didi Valderrama,junior,19,
1985,Miguel González,bucaramanga,34,
1985,Juan Gilberto Funes,millonarios,33,
1985,Omar Rodolfo Porté,tolima,20,
1986,Héctor Ramón Sosa,medellin,23,
1986,Ricardo Gareca,america,21,
1986,Jorge Alberto Taverna,quindio,18,
1986,Juan Jairo Galeano,nacional,17,
1986,Julio César Uribe,junior,16,
1986,Sergio Angulo,cali,16,
1986,José Ricardo Pérez,caldas,16,
1987,Jorge Aravena,cali,23,
1987,Oscar Eduardo Juárez,millonarios,21,
1987,Armando Osma,cali,20,
1987,Luis Armando Díaz,santafe,19,
1987,Jorge Alberto Taverna,santafe,19,
1987,Juan Jairo Galeano,nacional,15,
1988,Sergio Angulo,santafe,29,
1988,Carlos Enrique Estrada,millonarios,28,
1988,John Jairo Tréllez,nacional,20,
1989,Héctor Méndez,,17,
1989,"Sergio ""Checho"" Angulo",,16,
1989,"Carlos ""Panelo"" Valencia",,15,
1989,"Ramón ""Rambo"" Sosa",,15,
1989,"Oscar ""Pájaro"" Juárez",,14,
1990,Antony de Ávila,america,25,
1990,Pedro Manuel Olalla,bucaramanga,20,
1990,Sergio Angulo,america,20,
1990,Luis Armando Díaz,santafe,16,
1990,Jesús Barrios,bucaramanga,14,
1991,Iván René Valenciano,junior,30,
1991,Jorge da Silva,america,20,
1991,José Manuel Rodríguez,cali,18,
1991,Orlando Maturana,america,17,
1991,Adolfo Valencia,santafe,17,
1991,Faustino Asprilla,nacional,16,
1992,John Jairo Tréllez,nacional,25,
1992,Alex Comas,junior,24,
1992,Rubén Darío Hernández,envigado,20,
1992,Jorge da Silva,america,19,
1992,Adolfo Valencia,santafe,19,
1992,Víctor Hugo Aristizábal,nacional,18,
1992,Armando Osma,tolima,17,
1993,Miguel Guerrero,junior,34,
1993,Miguel Asprilla,caldas,27,
1993,John Jairo Tréllez,nacional,25,
1993,Rubén Darío Hernández,medellin,21,
1993,Albeiro Usuriaga,america,21,
1993,Víctor Hugo Aristizábal,nacional,20,
1994,Rubén Darío Hernández,medellin,32,
1994,Alex Comas,quindio,31,
1994,Carlos Rendón,millonarios,25,
1994,Jorge Ramoa,bucaramanga,20,
1994,Arnoldo Iguarán,millonarios,20,
1994,Antony de Ávila,america,18,
1995-96,Iván René Valenciano,junior,36,
1995-96,Víctor Hugo Aristizábal,nacional,33,
1995-96,Edison Mafla,cali,33,
1995-96,Adolfo Valencia,santafe,25,
1995-96,Hugo Arrieta,pereira,24,
1995-96,Manuel Acisclo Córdoba,huila,22,
1995,Iván René Valenciano,junior,24,
1995,Niver Arboleda,cali,19,
1995,Cristian Montecinos,junior,16,
1995,Carlos Castro,medellin,15,
1995,Rubén Darío Hernández,santafe,13,
1995,Gustavo Daniel Iturburo,magdalena,12,
1996-97,Hamilton Ricard,cali,36,
1996-97,Arnulfo Valentierra,caldas,33,
1996-97,Jorge Ramírez Quesada,tolima,27,
1996-97,Carlos Rodas,pereira,26,
1996-97,Edison Mafla,cali,25,
1996-97,Sergio Galván,caldas,23,
1998,Víctor Bonilla,cali,37,
1998,Sergio Galván,caldas,29,
1998,Héctor Mario Núñez,medellin,26,
1998,Adolfo Valencia,medellin,26,
1998,Alex Comas,nacional,25,
1998,Carlos Rodas,quindio,21,
1999,Sergio Galván,,26,
1999,Márcio Cruz,,22,
1999,Marquinho,,20,
1999,Carlos Rendón,,19,
1999,Julián Téllez,,19,
1999,Iván René Valenciano,,18,
2000,Carlos Castro,millonarios,24,
2000,Julián Vásquez,envigado,21,
2000,Sergio Galván,caldas,20,
2000,Iván René Valenciano,medellin,20,
2000,Víctor Mafla,america,19,
2000,Marquinho,junior,17,
2001,Carlos Castro,millonarios,29,
2001,Jorge Horacio Serna,medellin,29,
